personId,PlayerName,total_minutes_2018_2024
1630210,Markus Howard,381
1629662,Mfiondu Kabengele,381
1627988,Myke Henry,378
1631254,Kenneth Lofton Jr.,374
1628405,Johnathan Motley,373
1641730,Noah Clowney,370
1641787,Tosan Evbuomwan,367
1630185,Nico Mannion,364
1626259,Malcolm Miller,355
1630593,McKinley Wright IV,354
1630186,Jahmi'us Ramsey,350
1641716,Jarace Walker,340
1641765,Olivier-Maxence Prosper,336
1630221,Josh Hall,336
1630285,Zavier Simpson,335
203658,Norvel Pelle,334
1641763,Julian Phillips,323
1630204,Ashton Hagans,320
1629752,Juwan Morgan,313
1629743,Donta Hall,312
1630195,Leandro Bolmaro,309
1630649,Stanley Umude,309
1630243,Trevelin Queen,309
1641877,Nathan Mensah,307
1629730,Rayjon Tucker,300
1629244,Cam Reynolds,300
1628383,Justin Patton,295
1629623,Lindell Wigginton,293
1629598,Chris Clemons,291
1628982,Melvin Frazier Jr.,290
1628681,Rodney Purvis,290
1630696,Dru Smith,289
1641741,Ricky Council IV,289
1641778,Leaky Black,284
1631113,Kennedy Chandler,282
1629663,Louis King,280
1628503,Jamel Artis,279
1629875,Xavier Moon,276
203966,Jamil Wilson,274
1629714,Jarrell Brantley,273
1629683,Quinndary Weatherspoon,272
1628439,Isaiah Hicks,272
1630695,Micah Potter,269
1641931,Onuralp Bitim,268
1630466,Gabriel Deck,267
1630296,Braxton Key,266
1631217,Moussa Diabate,260
1630580,Joe Wieskamp,255
203705,Josh Magette,254
1627395,Julian Washburn,254
1629648,Jordan Bone,249
1630199,Cassius Stanley,248
1630206,Jay Scrubb,236
1627772,Daniel Hamilton,232
1631111,Wendell Moore Jr.,228
1629719,Devontae Cacok,228
1629605,Tacko Fall,227
1631116,Patrick Baldwin,226
1630641,Ibou Badji,226
1631221,Collin Gillespie,225
1628409,Alec Peters,225
1629346,Alen Smailagic,223
1630792,Malcolm Hill,221
1631219,John Butler Jr.,221
1629962,Devin Cannady,219
1629102,Brandon Sampson,214
1630686,Georgios Kalaitzakis,213
1628510,Andrew White III,209
1627215,Walt Lemon Jr.,202
1630606,Javonte Smart,201
1629168,BJ Johnson,197
1641723,Kobe Bufkin,196
1630554,Jason Preston,195
1629061,Deng Adel,194
1630611,Gui Santos,192
1641732,Colby Jones,192
1629653,Devon Dotson,188
1630187,Daniel Oturu,188
1631169,Josh Minott,188
1630176,Vernon Carey Jr.,187
1629712,Didi Louzada,186
1630691,Jamorko Pickett,176
204066,John Holland,175
1629725,Jeremiah Martin,174
1631205,Buddy Boeheim,174
1630223,Jalen Harris,172
1629755,Hassani Gravett,171
1630207,Nate Hinton,170
1629738,Vincent Poirier,169
1628499,Antonius Cleveland,168
1629690,Adam Mokoka,168
1629541,Dairis Bertans,167
1629034,Ray Spalding,166
1630698,Kevin Pangos,166
1631123,Jamaree Bouyea,165
1630643,Jay Huff,165
1626177,Dakari Johnson,161
1629686,Deividas Sirvydis,160
1629203,Jemerrio Jones,158
1630253,Sean McDermott,158
1630600,Isaiah Mobley,156
1641774,Tristan Vukcevic,153
1629716,Marques Bolden,153
1630610,DeJon Jarreau,150
1631262,Jules Bernard,149
1631245,Quenton Jackson,145
1626187,Michael Frazier II,145
1628537,Jaylen Morris,143
1629015,Zhaire Smith,143
1628518,Amile Jefferson,143
1631321,Sidy Cissoko,141
1631157,Ryan Rollins,140
1629751,Dakota Mathias,140
1630216,Cassius Winston,137
1630225,Isaiah Todd,136
1641734,Emoni Bates,133
1628513,Naz Mitrou-Long,131
1628419,Cameron Oliver,131
1631298,Jack White,130
1630585,Marcus Garrett,128
1631306,Cole Swider,128
1631466,Jeenathan Williams,127
1641645,Xavier Cooks,126
1641851,Timmy Allen,125
1627753,Zhou Qi,125
1628495,Milton Doyle,125
1628502,Nigel Hayes,122
1629618,Jalen Pickett,122
1641970,Maozinha Pereira,122
1628959,Rawle Alkins,120
1631338,Mouhamadou Gueye,120
1627821,James Webb III,120
1628504,Xavier Rathan-Mayes,118
1628444,Jabari Bird,115
1630562,Matt Hurt,113
1629123,Jared Terrell,111
1627982,Josh Gray,109
1641720,Jalen Hood-Schifino,109
1628421,Devin Robinson,108
1642013,Malik Williams,107
1631120,JD Davison,105
1629133,Daryl Macon,104
1630602,Chaundee Brown,104
1641721,Maxwell Lewis,103
1631112,Kendall Brown,103
1629606,Robert Franks,101
1629045,Bonzie Colson,98
1628399,Tyler Lydon,96
1641753,Chris Livingston,91
1630211,Karim Mane,88
1630218,Robert Woodard II,88
1630270,Xavier Sneed,87
1628961,Kostas Antetokounmpo,86
1631173,Terquavion Smith,84
1641775,Jordan Walsh,83
1631160,Jordan Hall,83
1628985,Devon Hall,81
1630637,Carlik Jones,79
201281,Andre Ingram,79
1628221,Gabe York,77
204179,Omari Johnson,75
1630564,RaiQuan Gray,74
1630238,Malik Fitts,74
1630758,Aleem Ford,74
1631243,Mouhamed Gueye,73
1630582,Yves Pons,71
1630189,Tyler Bey,71
1626154,RJ Hunter,71
1629094,Marcus Derrickson,67
1629607,Jared Harper,67
1631220,Dereon Seabron,67
1641724,Jett Howard,67
1641749,Keyontae Johnson,66
1641766,Adama Sanogo,66
1631213,Tyrese Martin,66
1628506,London Perrantes,66
1630644,Mac McClung,65
1641735,Amari Bailey,65
1628492,Gian Clavell,64
1628656,Billy Garrett,63
1630612,RJ Nembhard,63
1629724,Vic Law,62
1631257,Jermaine Samuels Jr.,60
1630179,Tyrell Terry,59
1630658,Colin Castleton,59
1629353,Isaac Humphries,56
1629597,Zylan Cheatham,56
1628070,Jordan Loyd,55
1630250,Marko Simonovic,55
1631159,Leonard Miller,52
1628987,Kevin Hervey,52
1629619,Myles Powell,52
1641754,Seth Lundy,52
1628430,Nigel Williams-Goss,50
1641816,Hunter Tyson,48
1630234,Ty-Shon Alexander,47
