draft_year,Rk,Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG_pct,3P_pct,FT_pct,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per48,BPM,VORP
1951,35.0,35.0,SYR,Paul Horvath,NC State,,,,,,,,,,,,,,,,,
1951,36.0,36.0,NYK,Lloyd Sandstrom,University of St. Thomas,,,,,,,,,,,,,,,,,
1951,37.0,37.0,BOS,Bob Barnett,University of Evansville,,,,,,,,,,,,,,,,,
1951,38.0,38.0,ROC,Elmer Behnke,Bradley,1.0,4.0,55.0,16.0,17.0,4.0,0.273,,0.571,13.8,4.0,4.3,1.0,-0.1,-0.098,,
1951,39.0,39.0,PHW,Jud Milhon,Ohio Wesleyan University,,,,,,,,,,,,,,,,,
1951,40.0,40.0,MNL,Gale McArthur,Oklahoma State,,,,,,,,,,,,,,,,,
1951,41.0,41.0,BLB,Leroy Ishman,American University,,,,,,,,,,,,,,,,,
1951,42.0,42.0,TRI,Bob Sakel,University of Evansville,,,,,,,,,,,,,,,,,
1951,43.0,43.0,INO,Bob Pierce,Nebraska,,,,,,,,,,,,,,,,,
1951,44.0,44.0,FTW,Leo Johnson,Arizona,,,,,,,,,,,,,,,,,
1951,45.0,45.0,SYR,Glen Anderson,Colorado State,,,,,,,,,,,,,,,,,
1951,46.0,46.0,NYK,Tom Smith,Saint Peter's College,,,,,,,,,,,,,,,,,
1951,47.0,47.0,BOS,Rip Gish,Western Kentucky,,,,,,,,,,,,,,,,,
1951,48.0,48.0,ROC,Dan Bagley,Notre Dame,,,,,,,,,,,,,,,,,
1951,49.0,49.0,PHW,Mike Kearns,Princeton,1.0,6.0,25.0,1.0,3.0,5.0,0.0,,0.25,4.2,0.2,0.5,0.8,-0.1,-0.223,,
1951,50.0,50.0,MNL,Leo VanderKuy,Michigan,,,,,,,,,,,,,,,,,
1951,51.0,51.0,BLB,Glen Duggins,Utah,,,,,,,,,,,,,,,,,
1951,52.0,52.0,TRI,John Rennicke,Drake University,1.0,6.0,54.0,11.0,9.0,1.0,0.222,,0.333,9.0,1.8,1.5,0.2,-0.2,-0.218,,
1951,53.0,53.0,INO,Marv Johnson,Wheaton College,,,,,,,,,,,,,,,,,
1951,54.0,54.0,FTW,Frank Calsbeek,Iowa,,,,,,,,,,,,,,,,,
1951,55.0,55.0,SYR,Bob Wheeler,Idaho,,,,,,,,,,,,,,,,,
1951,56.0,56.0,NYK,Al McGuire,St. John's,4.0,191.0,2966.0,757.0,418.0,363.0,0.379,,0.551,15.5,4.0,2.2,1.9,5.5,0.088,,
1951,57.0,57.0,BOS,Jim Luisi,St. Francis College,1.0,31.0,367.0,89.0,25.0,35.0,0.326,,0.659,11.8,2.9,0.8,1.1,0.0,0.002,,
1951,58.0,58.0,ROC,Jim Ove,Valparaiso,,,,,,,,,,,,,,,,,
1951,59.0,59.0,PHW,Dwight Swails,University of Indianapolis,,,,,,,,,,,,,,,,,
1951,60.0,60.0,MNL,Deward Dopson,Arkansas Tech University,,,,,,,,,,,,,,,,,
1951,61.0,61.0,BLB,Tom Riach,USC,,,,,,,,,,,,,,,,,
1951,62.0,62.0,TRI,Bob Ambler,Arkansas,,,,,,,,,,,,,,,,,
1951,63.0,63.0,INO,Ted Beach,Illinois,,,,,,,,,,,,,,,,,
1951,64.0,64.0,FTW,Jim Ramstead,Stanford,,,,,,,,,,,,,,,,,
1951,65.0,65.0,SYR,Roy Reardon,St. Francis College,,,,,,,,,,,,,,,,,
1951,66.0,66.0,NYK,Sid Ryen,Denver,,,,,,,,,,,,,,,,,
1951,67.0,67.0,BOS,John Azary,Columbia University,,,,,,,,,,,,,,,,,
1951,68.0,68.0,ROC,Jack Brown,SMU,,,,,,,,,,,,,,,,,
1951,69.0,69.0,PHW,George Dempsey,King's College,5.0,315.0,5720.0,1574.0,1125.0,711.0,0.407,,0.661,18.2,5.0,3.6,2.3,10.8,0.09,,
1951,70.0,70.0,MNL,Ed Head,Kansas State,,,,,,,,,,,,,,,,,
1951,71.0,71.0,BLB,Bill Harper,Oregon State,,,,,,,,,,,,,,,,,
1951,72.0,72.0,TRI,Aaron Preece,Bradley,,,,,,,,,,,,,,,,,
1951,73.0,73.0,INO,George Kelley,Vanderbilt,,,,,,,,,,,,,,,,,
1951,74.0,74.0,FTW,John Manning,Duquesne,,,,,,,,,,,,,,,,,
1951,75.0,75.0,SYR,Tom Jockle,Syracuse,,,,,,,,,,,,,,,,,
1951,76.0,76.0,BOS,Hugo Kappler,NC State,,,,,,,,,,,,,,,,,
1951,77.0,77.0,ROC,George Davidson,Lafayette College,,,,,,,,,,,,,,,,,
1951,78.0,78.0,PHW,Jim Phelan,La Salle,1.0,4.0,33.0,3.0,5.0,2.0,0.0,,0.5,8.3,0.8,1.3,0.5,-0.1,-0.187,,
1951,79.0,79.0,BLB,Bob Crowe,San Jose State,,,,,,,,,,,,,,,,,
1951,80.0,80.0,TRI,Wayne Tucker,Colorado,,,,,,,,,,,,,,,,,
1951,81.0,81.0,SYR,Ray Kirkgasser,Ithaca College,,,,,,,,,,,,,,,,,
1951,82.0,82.0,PHW,Hugh Faulkner,Pepperdine,,,,,,,,,,,,,,,,,
1951,83.0,83.0,BLB,Dan Torrey,Oregon State,,,,,,,,,,,,,,,,,
1951,84.0,84.0,TRI,John DeWitt,Texas A&M,,,,,,,,,,,,,,,,,
1951,85.0,85.0,PHW,Paul Gerwin,Cornell,,,,,,,,,,,,,,,,,
1951,86.0,86.0,BLB,Clem Pavilonis,DePaul,,,,,,,,,,,,,,,,,
1951,87.0,87.0,BLB,John Burke,Springfield College,,,,,,,,,,,,,,,,,
1952,1.0,4.0,PHW,Bill Mlkvy,Temple,1.0,31.0,608.0,181.0,101.0,62.0,0.305,,0.646,19.6,5.8,3.3,2.0,-1.0,-0.082,,
1952,2.0,1.0,MLH,Mark Workman,West Virginia,2.0,79.0,1181.0,386.0,230.0,44.0,0.331,,0.618,14.9,4.9,2.9,0.6,-1.2,-0.049,,
1952,3.0,2.0,BLB,Jim Baechtold,Eastern Kentucky University,5.0,321.0,8256.0,3123.0,1009.0,685.0,0.388,,0.783,25.7,9.7,3.1,2.1,14.8,0.086,,
1952,4.0,3.0,FTW,Dick Groat,Duke,1.0,26.0,663.0,309.0,86.0,69.0,0.368,,0.79,25.5,11.9,3.3,2.7,2.0,0.148,,
1952,5.0,5.0,INO,Joe Dean,LSU,,,,,,,,,,,,,,,,,
1952,6.0,6.0,NYK,Ralph Polson,Whitworth,1.0,49.0,810.0,191.0,211.0,24.0,0.363,,0.635,16.5,3.9,4.3,0.5,0.8,0.047,,
1952,7.0,7.0,BOS,Bill Stauffer,Missouri,,,,,,,,,,,,,,,,,
1952,8.0,8.0,SYR,Bob Lochmueller,Louisville,1.0,62.0,802.0,232.0,162.0,47.0,0.322,,0.607,12.9,3.7,2.6,0.8,0.5,0.031,,
1952,9.0,9.0,ROC,Chuck Darling,Iowa,,,,,,,,,,,,,,,,,
