category,start_year,end_year,divergence,n_matched_ages,divergence_smoothed
STL_per36,1968,1982,0.17536665795290768,13,0.18700362374865084
STL_per36,1969,1983,0.19927301740170875,13,0.17781470321079137
STL_per36,1970,1984,0.17512530363736054,13,0.1710651029208927
STL_per36,1971,1985,0.16924897591158378,14,0.16008007713173894
STL_per36,1972,1986,0.1363115597009028,14,0.1378506499313868
STL_per36,1973,1987,0.12044152900713874,14,0.12806213451964532
STL_per36,1974,1988,0.08812588139994817,14,0.11273999745418244
STL_per36,1975,1989,0.1261827265786531,14,0.10566515052761058
STL_per36,1976,1990,0.09263829058426935,14,0.09914690180640921
STL_per36,1977,1991,0.10093732506804358,14,0.10227451434984705
STL_per36,1978,1992,0.08785028540113192,15,0.0999877074667012
STL_per36,1979,1993,0.10376394411713727,15,0.10566690012430797
STL_per36,1980,1994,0.11474869216292392,15,0.10856610901509962
STL_per36,1981,1995,0.12103425387230321,15,0.12266237134930762
STL_per36,1982,1996,0.11543336952200171,15,0.13569175444941223
STL_per36,1983,1997,0.15833159707217204,16,0.14132676777535372
STL_per36,1984,1998,0.1689108596176604,16,0.2284558144417849
STL_per36,1985,1999,0.1429237587926313,16,0.26948279397551833
STL_per36,1986,2000,0.5566794872044589,18,0.31201347167939864
STL_per36,1987,2001,0.3205682671906693,18,0.3946890176965756
STL_per36,1988,2002,0.3709849855915731,18,0.5048911874010149
STL_per36,1989,2003,0.5822885897035455,19,0.4919441124501539
STL_per36,1990,2004,0.6939346073148278,20,0.5490693942033155
BLK_per36,1955,1969,,0,
BLK_per36,1956,1970,,0,
BLK_per36,1957,1971,,0,
BLK_per36,1958,1972,,0,
BLK_per36,1959,1973,,0,
BLK_per36,1960,1974,,0,
BLK_per36,1961,1975,0.013622237603502459,2,0.08934771772050228
BLK_per36,1962,1976,0.12649967564801712,8,0.093000589617667
BLK_per36,1963,1977,0.12792123990998727,10,0.10358307687394035
BLK_per36,1964,1978,0.10395920530916115,11,0.12144750354562532
BLK_per36,1965,1979,0.14591302589903368,12,0.1156221963794781
BLK_per36,1966,1980,0.10294437096192735,13,0.10651092218938132
BLK_per36,1967,1981,0.097373139817281,13,0.10577669126585403
BLK_per36,1968,1982,0.0823648689595034,13,0.09288622968778967
BLK_per36,1969,1983,0.10028805069152466,13,0.09056011917574094
BLK_per36,1970,1984,0.08146071800871195,13,0.08690650425097872
BLK_per36,1971,1985,0.09131381840168362,14,0.08608679854309835
BLK_per36,1972,1986,0.07910506519346996,14,0.07984910338586013
BLK_per36,1973,1987,0.07826634042010158,14,0.07256425191370088
BLK_per36,1974,1988,0.06909957490533354,14,0.06275656311066391
BLK_per36,1975,1989,0.045036460647915645,14,0.057074149068895276
BLK_per36,1976,1990,0.042275374386498844,14,0.05547565560291873
BLK_per36,1977,1991,0.05069299498462678,14,0.057894122185625195
BLK_per36,1978,1992,0.07027387309021882,15,0.06514961039562756
BLK_per36,1979,1993,0.08119190781886584,15,0.0692822161649983
