Norman Powell,23,Toronto Raptors,42767
Norris Cole,28,Oklahoma City Thunder,42767
Okaro White,24,Miami Heat,42767
Ömer Aşık,30,New Orleans Pelicans,42767
Omri Casspi,28,Sacramento Kings,42767
Omri Casspi,28,Minnesota Timberwolves,42767
Omri Casspi,28,New Orleans Pelicans,42767
Otto Porter Jr.,23,Washington Wizards,42767
P.J. Tucker,31,Phoenix Suns,42767
P.J. Tucker,31,Toronto Raptors,42767
Pascal Siakam,22,Toronto Raptors,42767
Pat Connaughton,24,Portland Trail Blazers,42767
Patricio Garino,23,Orlando Magic,42767
Patrick Beverley,28,Houston Rockets,42767
Patrick McCaw,21,Golden State Warriors,42767
Patrick Patterson,27,Toronto Raptors,42767
Patty Mills,28,San Antonio Spurs,42767
Pau Gasol,36,San Antonio Spurs,42767
Paul George,26,Indiana Pacers,42767
Paul Millsap,31,Atlanta Hawks,42767
Paul Pierce,39,Los Angeles Clippers,42767
Paul Zipser,22,Chicago Bulls,42767
Pierre Jackson,25,Dallas Mavericks,42767
Quincy Acy,26,Brooklyn Nets,42767
Quincy Acy,26,Dallas Mavericks,42767
Quinn Cook,23,New Orleans Pelicans,42767
Quinn Cook,23,Dallas Mavericks,42767
R.J. Hunter,23,Chicago Bulls,42767
Rajon Rondo,30,Chicago Bulls,42767
Rakeem Christmas,25,Indiana Pacers,42767
Ramon Sessions,30,Charlotte Hornets,42767
Randy Foye,33,Brooklyn Nets,42767
Rashad Vaughn,20,Milwaukee Bucks,42767
Raul Neto,24,Utah Jazz,42767
Raymond Felton,32,Los Angeles Clippers,42767
Reggie Bullock,25,Detroit Pistons,42767
Reggie Jackson,26,Detroit Pistons,42767
Reggie Williams (10),30,New Orleans Pelicans,42767
Richard Jefferson,36,Cleveland Cavaliers,42767
Richaun Holmes,23,Philadelphia 76ers,42767
Ricky Rubio,26,Minnesota Timberwolves,42767
Robert Covington,26,Philadelphia 76ers,42767
Robin Lopez,28,Chicago Bulls,42767
Rodney Hood,24,Utah Jazz,42767
Rodney McGruder,25,Miami Heat,42767
Rodney Stuckey,30,Indiana Pacers,42767
Ron Baker,23,New York Knicks,42767
Rondae Hollis-Jefferson,22,Brooklyn Nets,42767
Ronnie Price,33,Phoenix Suns,42767
Roy Hibbert,30,Charlotte Hornets,42767
Roy Hibbert,30,Denver Nuggets,42767
Rudy Gay,30,Sacramento Kings,42767
Rudy Gobert,24,Utah Jazz,42767
Russell Westbrook,28,Oklahoma City Thunder,42767
Ryan Anderson,28,Houston Rockets,42767
Ryan Kelly,25,Atlanta Hawks,42767
Salah Mejri,30,Dallas Mavericks,42767
Sam Dekker,22,Houston Rockets,42767
Sasha Vujačić,32,New York Knicks,42767
Sean Kilpatrick,27,Brooklyn Nets,42767
Semaj Christon,24,Oklahoma City Thunder,42767
